text,expected_otp
Enter 441586 OTP to verify your account,441586
Please enter 230242 to complete your authentication.,230242
Your OTP is 103179. Do not share it with anyone.,103179
Authentication code: 670952. Keep it safe.,670952
"Hi, your verification PIN is 666104.",666104
473445 is your verification number for access.,473445
Your OTP is 758371. Do not share it with anyone.,758371
Enter 276568 OTP to verify your account,276568
120125 is the code to authorize your transaction.,120125
524706 - confirmation code for secure access.,524706
Your one-time password (OTP) is 665909. Valid for 10 minutes.,665909
28521 is your verification number for access.,28521
97437 - confirmation code for secure access.,97437
829909 - confirmation code for secure access.,829909
"Hi, your verification PIN is 815617.",815617
Please enter 223162 to complete your authentication.,223162
894077 is the code to authorize your transaction.,894077
Your one-time password (OTP) is 701144. Valid for 10 minutes.,701144
Your OTP is 846016. Do not share it with anyone.,846016
Authentication code: 528812. Keep it safe.,528812
"Hi, your verification PIN is 105545.",105545
Enter 973269 OTP to verify your account,973269
Authentication code: 787372. Keep it safe.,787372
"Hi, your verification PIN is 109711.",109711
647195 is the code to authorize your transaction.,647195
Your OTP is 94992. Do not share it with anyone.,94992
Use 92876 as your OTP to login. Rapido!.,92876
Use 984461 as your OTP to login. Rapido!.,984461
Authentication code: 737197. Keep it safe.,737197
579381 is the code to authorize your transaction.,579381
Please enter 121063 to complete your authentication.,121063
"Hi, your verification PIN is 898940.",898940
Use 997725 as your OTP to login. Rapido!.,997725
Authentication code: 179688. Keep it safe.,179688
333892 - confirmation code for secure access.,333892
Authentication code: 860868. Keep it safe.,860868
Enter 882610 OTP to verify your account,882610
980180 is your verification number for access.,980180
"Hi, your verification PIN is 941049.",941049
15875 is your verification number for access.,15875
340458 - confirmation code for secure access.,340458
848825 is your verification number for access.,848825
"Hi, your verification PIN is 665327.",665327
394482 - confirmation code for secure access.,394482
221511 is the code to authorize your transaction.,221511
Use 511150 as your OTP to login. Rapido!.,511150
Use 434843 as your OTP to login. Rapido!.,434843
Your OTP is 515889. Do not share it with anyone.,515889
Use 410783 as your OTP to login. Rapido!.,410783
Please enter 958055 to complete your authentication.,958055
519253 - confirmation code for secure access.,519253
Use 98283 as your OTP to login. Rapido!.,98283
275721 is your verification number for access.,275721
Your one-time password (OTP) is 149725. Valid for 10 minutes.,149725
Authentication code: 692710. Keep it safe.,692710
Authentication code: 662875. Keep it safe.,662875
Your OTP is 897332. Do not share it with anyone.,897332
123900 - confirmation code for secure access.,123900
Your one-time password (OTP) is 281589. Valid for 10 minutes.,281589
88496 is your verification number for access.,88496
Please enter 146295 to complete your authentication.,146295
31930 - confirmation code for secure access.,31930
Please enter 121364 to complete your authentication.,121364
227813 - confirmation code for secure access.,227813
Your one-time password (OTP) is 189540. Valid for 10 minutes.,189540
11632 is your verification number for access.,11632
676738 is the code to authorize your transaction.,676738
Enter 869415 OTP to verify your account,869415
631134 is the code to authorize your transaction.,631134
227636 - confirmation code for secure access.,227636
Please enter 220952 to complete your authentication.,220952
Authentication code: 713641. Keep it safe.,713641
Authentication code: 580604. Keep it safe.,580604
392246 is your verification number for access.,392246
482111 is the code to authorize your transaction.,482111
119887 is your verification number for access.,119887
803245 - confirmation code for secure access.,803245
Enter 447535 OTP to verify your account,447535
458049 is the code to authorize your transaction.,458049
Authentication code: 203019. Keep it safe.,203019
369814 - confirmation code for secure access.,369814
"Hi, your verification PIN is 681433.",681433
"Hi, your verification PIN is 734287.",734287
Use 527474 as your OTP to login. Rapido!.,527474
Your one-time password (OTP) is 941210. Valid for 10 minutes.,941210
Your one-time password (OTP) is 17977. Valid for 10 minutes.,17977
854309 - confirmation code for secure access.,854309
16069 - confirmation code for secure access.,16069
435166 is the code to authorize your transaction.,435166
583735 is the code to authorize your transaction.,583735
Please enter 505967 to complete your authentication.,505967
Enter 743479 OTP to verify your account,743479
Your one-time password (OTP) is 208488. Valid for 10 minutes.,208488
370364 is the code to authorize your transaction.,370364
584480 - confirmation code for secure access.,584480
50359 is the code to authorize your transaction.,50359
Enter 889990 OTP to verify your account,889990
688120 is your verification number for access.,688120
"Hi, your verification PIN is 743929.",743929
Your one-time password (OTP) is 798429. Valid for 10 minutes.,798429
539891 - confirmation code for secure access.,539891
Enter 799598 OTP to verify your account,799598
Authentication code: 219797. Keep it safe.,219797
110612 - confirmation code for secure access.,110612
"Hi, your verification PIN is 198045.",198045
491891 is the code to authorize your transaction.,491891
Please enter 14765 to complete your authentication.,14765
Please enter 64194 to complete your authentication.,64194
"Hi, your verification PIN is 79794.",79794
Use 729723 as your OTP to login. Rapido!.,729723
Please enter 692515 to complete your authentication.,692515
111793 is your verification number for access.,111793
230412 - confirmation code for secure access.,230412
"Hi, your verification PIN is 405305.",405305
Authentication code: 911015. Keep it safe.,911015
475628 - confirmation code for secure access.,475628
Enter 695037 OTP to verify your account,695037
Your one-time password (OTP) is 684592. Valid for 10 minutes.,684592
Use 393125 as your OTP to login. Rapido!.,393125
931924 is the code to authorize your transaction.,931924
472233 is your verification number for access.,472233
263241 is your verification number for access.,263241
Please enter 968152 to complete your authentication.,968152
993315 is the code to authorize your transaction.,993315
Enter 458244 OTP to verify your account,458244
"Hi, your verification PIN is 490730.",490730
Use 654169 as your OTP to login. Rapido!.,654169
637795 is the code to authorize your transaction.,637795
Please enter 451167 to complete your authentication.,451167
595691 - confirmation code for secure access.,595691
818380 - confirmation code for secure access.,818380
391032 is your verification number for access.,391032
689866 - confirmation code for secure access.,689866
Please enter 77168 to complete your authentication.,77168
Please enter 376122 to complete your authentication.,376122
451244 is your verification number for access.,451244
189643 - confirmation code for secure access.,189643
Your OTP is 335064. Do not share it with anyone.,335064
Use 32394 as your OTP to login. Rapido!.,32394
Enter 867843 OTP to verify your account,867843
Authentication code: 308729. Keep it safe.,308729
616377 is the code to authorize your transaction.,616377
Your one-time password (OTP) is 537196. Valid for 10 minutes.,537196
Your OTP is 933655. Do not share it with anyone.,933655
"Hi, your verification PIN is 30974.",30974
Your one-time password (OTP) is 197114. Valid for 10 minutes.,197114
"Hi, your verification PIN is 938529.",938529
Your OTP is 253248. Do not share it with anyone.,253248
885028 - confirmation code for secure access.,885028
Use 518300 as your OTP to login. Rapido!.,518300
"Hi, your verification PIN is 313941.",313941
Your OTP is 117185. Do not share it with anyone.,117185
Your one-time password (OTP) is 994153. Valid for 10 minutes.,994153
Your one-time password (OTP) is 79687. Valid for 10 minutes.,79687
Authentication code: 346326. Keep it safe.,346326
Use 237800 as your OTP to login. Rapido!.,237800
"Hi, your verification PIN is 811175.",811175
295169 - confirmation code for secure access.,295169
"Hi, your verification PIN is 502142.",502142
Authentication code: 253207. Keep it safe.,253207
Enter 548108 OTP to verify your account,548108
Use 701695 as your OTP to login. Rapido!.,701695
Use 746937 as your OTP to login. Rapido!.,746937
"Hi, your verification PIN is 668841.",668841
Authentication code: 790614. Keep it safe.,790614
335844 is your verification number for access.,335844
126725 is your verification number for access.,126725
"Hi, your verification PIN is 612795.",612795
970784 is your verification number for access.,970784
284023 is your verification number for access.,284023
831081 is the code to authorize your transaction.,831081
Authentication code: 984253. Keep it safe.,984253
Your OTP is 108734. Do not share it with anyone.,108734
Your OTP is 235896. Do not share it with anyone.,235896
"Hi, your verification PIN is 155444.",155444
Use 782216 as your OTP to login. Rapido!.,782216
Please enter 877129 to complete your authentication.,877129
Use 919758 as your OTP to login. Rapido!.,919758
Use 680878 as your OTP to login. Rapido!.,680878
Authentication code: 998714. Keep it safe.,998714
Your one-time password (OTP) is 173172. Valid for 10 minutes.,173172
292334 is the code to authorize your transaction.,292334
Use 198083 as your OTP to login. Rapido!.,198083
818911 is the code to authorize your transaction.,818911
Please enter 539406 to complete your authentication.,539406
Authentication code: 518806. Keep it safe.,518806
Your OTP is 866553. Do not share it with anyone.,866553
Enter 371157 OTP to verify your account,371157
Your one-time password (OTP) is 277626. Valid for 10 minutes.,277626
Your OTP is 273302. Do not share it with anyone.,273302
Your OTP is 6181. Do not share it with anyone.,6181
Enter 856792 OTP to verify your account,856792
760282 - confirmation code for secure access.,760282
Please enter 93292 to complete your authentication.,93292
238336 is your verification number for access.,238336
339542 is the code to authorize your transaction.,339542
Use 146473 as your OTP to login. Rapido!.,146473
Please enter 196937 to complete your authentication.,196937
Enter 736203 OTP to verify your account,736203
584283 - confirmation code for secure access.,584283
"138337 is your otp to verify your mobile for CSC services, valid only for 30 mins. Maandhan. Team CSC",138337
<#> Your otp is:562534 at 08:23:43 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,562534
<#> Your otp is:829671 at 08:23:43 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,829671
<#> Your otp is:951324 at 12:57:00 PM on 28-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,951324
"Dear Customer, your otp for Bajaj Finserv app login is 528746. Please do not share it with others. O3ndgNZUtXq",528746
"<#>692241 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",692241
"<#>197899 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",197899
"<#>253386 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",253386
<#>189197 is the Onetime Password (otp) for your Workex login. g7jD1+EsOQQ,189197
<#>686593 is the Onetime Password (otp) for your Workex login. g7jD1+EsOQQ,686593
<#> Your otp is:931004 at 12:34:27 PM on 13-01-2022 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,931004
<#>136805 is the Onetime Password (otp) for your Workex login. g7jD1+EsOQQ,136805
"<#>205658 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",205658
<#> Your otp is:637952 at 11:54:17 PM on 26-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,637952
<#> Your otp is:969511 at 08:25:31 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,969511
<#> Your otp is:440579 at 08:25:31 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,440579
<#> Your otp is:843290 at 08:25:31 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,843290
<#> Your otp is:161943 at 11:43:15 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,161943
<#> Your otp is:913342 at 11:43:15 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,913342
<#> Your otp is:900728 at 11:43:15 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,900728
<#> Your otp is:622040 at 10:57:08 AM on 16-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,622040
<#> Your otp is:624402 at 11:51:43 PM on 26-12-2021 for Nominee Modification. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,624402
"<#>251507 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",251507
<#> Your otp is:704303 at 11:00:48 AM on 16-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,704303
<#> Your otp is:492893 at 11:43:44 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,492893
<#> Your otp is:912930 at 11:43:44 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,912930
- Never share otp. Your otp to link Paytm Account to Airtel: 126238. Not You? Report https://ap.p-y.tm/ketLwD -,126238
"534332 is your otp to verify your mobile for CSC services, valid only for 30 mins. Maandhan. Team CSC",534332
Please enter 145935 to complete your authentication.,145935
"Hi, your verification PIN is 757383.",757383
"Hi, your verification PIN is 577023.",577023
Use 966637 as your OTP to login. Rapido!.,966637
497947 is your verification number for access.,497947
402798 is the code to authorize your transaction.,402798
Enter 381002 OTP to verify your account,381002
Your OTP is 892913. Do not share it with anyone.,892913
Please enter 4005 to complete your authentication.,4005
247617 - confirmation code for secure access.,247617
Use 738246 as your OTP to login. Rapido!.,738246
Your OTP is 828175. Do not share it with anyone.,828175
Authentication code: 553542. Keep it safe.,553542
610184 is the code to authorize your transaction.,610184
Enter 565917 OTP to verify your account,565917
Use 404310 as your OTP to login. Rapido!.,404310
Please enter 563259 to complete your authentication.,563259
Please enter 815316 to complete your authentication.,815316
Enter 517530 OTP to verify your account,517530
"<#>569658 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",569658
"<#>780759 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",780759
<#> Your otp is:162930 at 12:34:27 PM on 13-01-2022 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,162930
<#> Your otp is:807934 at 10:57:08 AM on 16-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,807934
<#> Your otp is:448147 at 12:57:00 PM on 28-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,448147
"731774 is SECRET otp for txns on EMI card ending 0534 .,BFL",731774
465146 is your One Time Password (otp) and is valid for 10 minutes. Generated at 13/11/2021 04:56 PM.Finserv MARKETS@www.bajajfinservmarkets.in #465146,465146
<#> Your otp is:463366 at 01:03:52 PM on 02-03-2022 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,463366
- Never share otp. Your otp to link Paytm Account to Flipkart: 887713. Not You? Report https://ap.p-y.tm/fSlWYX -,887713
"667120 is your One-Time Password, valid for 3 minutes only. Please Do not share your otp with anyone.",667120
Google verification code 663765 Message ID: f6f01vO3FNp,663765
"<#>928880 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",928880
328626 is the One Time Password(otp) for remitter registration. PLS Do Not Share The otp With Anyone DIGIPE,328626
527731 is your One Time Password. Do not share this otp with anyone. :PPBL,527731
"624493 is your otp to verify your mobile for CSC services, valid only for 30 mins. Maandhan. Team CSC",624493
"606461 is your otp to verify your mobile for CSC services, valid only for 30 mins. Maandhan. Team CSC",606461
"933579 is your otp to verify your mobile for CSC services, valid only for 30 mins. Maandhan. Team CSC",933579
937314 is the otp for txn of at on your Debit Card ending 4265 valid for 5 mins. Please do not share otp with anyone.-Canara Bank,937314
408465 is the otp for txn of at on your Debit Card ending 4265 valid for 5 mins. Please do not share otp with anyone.-Canara Bank,408465
935241 is the otp for txn of at on your Debit Card ending 4265 valid for 5 mins. Please do not share otp with anyone.-Canara Bank,935241
270250 is the One Time Password(otp) for remitter registration. PLS Do Not Share The otp With Anyone DIGIPE,270250
"Dear Customer, otp to approve transaction of Rs. 4500 from your A/c No. ending 2483 to Zomato Ltd is 34037008. Do not share with anyone. -SBI",34037008
"741554 is the otp for Kotak Bank branch appointment booking and is valid for 2 minutes. Do not share the otp with anyone, including bank officials.",741554
302990 is your CoinSwitch Kuber otp. Please do not share this code with anyone else. 8gsqSjfCPmn - CoinSwitch Kuber,302990
"603393 is the One Time Password (otp) for activation of Airtel Mobile number 7387090694 .Please verify the details filled in the form before sharing otp.This otp certifies that you agree to the terms and conditions of Airtel Digital SIM Activation process and be treated as your signature on CAF. For details, visit https://www.airtel.in/mobile/terms-conditions",603393
"948133 is the One Time Password (otp) for activation of Airtel Mobile number 7387090694 .Please verify the details filled in the form before sharing otp.This otp certifies that you agree to the terms and conditions of Airtel Digital SIM Activation process and be treated as your signature on CAF. For details, visit https://www.airtel.in/mobile/terms-conditions",948133
536151 is the otp to login to your Kuku FM account. +PfBnXoNS9LY -KukuFM,536151
"876022 is the One Time Password (otp) for activation of Airtel Mobile number 9054386443.Please verify the details filled in the form before sharing otp.This otp certifies that you agree to the terms and conditions of Airtel Digital SIM Activation process and be treated as your signature on CAF.For details, visit https://www.airtel.in/mobile/terms-conditions",876022
"439008 is the One Time Password (otp) for activation of Airtel Mobile number 9054386443.Please verify the details filled in the form before sharing otp.This otp certifies that you agree to the terms and conditions of Airtel Digital SIM Activation process and be treated as your signature on CAF.For details, visit https://www.airtel.in/mobile/terms-conditions",439008
110513 is your otp for ADDING the Airtel Payment Bank BENEFICIARY. Vikram Parida PAYTM PAYMENTS BANK LTD A/c: XXXXXXXX7646.,110513
162423 is your otp for ADDING the Airtel Payment Bank BENEFICIARY. Vikram Parida PAYTM PAYMENTS BANK LTD A/c: XXXXXXXX7646.,162423
<#> Your otp is:393615 at 12:57:00 PM on 28-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,393615
<#> Your otp is:654707 at 01:03:52 PM on 02-03-2022 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,654707
"563126 is SECRET otp for txns on EMI card ending 0534 .,BFL",563126
<#> Your otp is:928256 at 01:03:52 PM on 02-03-2022 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,928256
"721300 is your One-Time Password, valid for 3 minutes only. Please Do not share your otp with anyone.",721300
"391245 is SECRET otp for txns on EMI card ending 0534 .,BFL",391245
Use OTP 306001 log Swiggy account. share OTP number anyone including Swiggy personnel,306001
<#> Your otp is:320868 at 12:00:22 AM on 26-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,320868
<#> Your otp is:803141 at 11:00:48 AM on 16-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,803141
<#> Your otp is:588948 at 11:51:43 PM on 26-12-2021 for Nominee Modification. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,588948
"<#>219863 is your otp for activating SIB Mirror+ application. Please keep this otp confidential. If not generated by you, please call 18004251809.O+JQ2N8/kGY",219863
733338 is the otp for your transaction +916284040166. This is valid for 05 mins . Please don't share with anyone. -Socialswag,733338
792041 is the otp for your transaction +916284040166. This is valid for 05 mins . Please don't share with anyone. -Socialswag,792041
<#>Paytm never calls for otp. Do not share it with anyone. Paytm For Business Login otp: 949323. Not You? Report https://ap.p-y.tm/vcRAVY ID: cIWSokveyWr,949323
<#>Paytm never calls for otp. Do not share it with anyone. Paytm For Business Login otp: 158510. Not You? Report https://ap.p-y.tm/bKnMSL ID: cIWSokveyWr,158510
<#> Your otp is:853022 at 11:55:29 PM on 26-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,853022
<#> Your otp is:688481 at 12:00:22 AM on 26-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,688481
<#> Your otp is:876677 at 08:23:43 PM on 25-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,876677
<#> Your otp is:521693 at 03:08:17 PM on 13-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,521693
<#> Your otp is:959927 at 03:08:17 PM on 13-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,959927
<#> Your otp is:298162 at 03:08:17 PM on 13-01-2022 for Card Less Cash. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,298162
<#> Your otp is:319643 at 11:52:56 PM on 26-12-2021 for Nominee Modification. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,319643
<#> Your otp is:271572 at 11:52:56 PM on 26-12-2021 for Nominee Modification. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,271572
<#> Your otp is:780557 at 11:52:56 PM on 26-12-2021 for Nominee Modification. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,780557
<#> Your otp is:843194 at 12:57:32 PM on 28-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,843194
<#> Your otp is:129348 at 12:57:32 PM on 28-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,129348
<#> Your otp is:744067 at 11:55:29 PM on 26-12-2021 for Recurring Deposit Opening. DO NOT SHARE THE otp WITH ANYONE. BANK NEVER CALLS TO VERIFY otp -Karnataka Bank ologVzY+Y5V,744067
631973 - confirmation code for secure access.,631973
Use 851100 as your OTP to login. Rapido!.,851100
379387 is your verification number for access.,379387
Please enter 744810 to complete your authentication.,744810
610918 is the code to authorize your transaction.,610918
171832 is your verification number for access.,171832
858210 is the code to authorize your transaction.,858210
Authentication code: 721756. Keep it safe.,721756
Use 197972 as your OTP to login. Rapido!.,197972
Use 831116 as your OTP to login. Rapido!.,831116
Your OTP is 15152. Do not share it with anyone.,15152
Authentication code: 985191. Keep it safe.,985191
281658 is your verification number for access.,281658
Use 808526 as your OTP to login. Rapido!.,808526
Please enter 139599 to complete your authentication.,139599
Your OTP is 801530. Do not share it with anyone.,801530
Use 895141 as your OTP to login. Rapido!.,895141
Your OTP is 867713. Do not share it with anyone.,867713
397230 is the code to authorize your transaction.,397230
Use 633599 as your OTP to login. Rapido!.,633599
Your OTP is 144960. Do not share it with anyone.,144960
Enter 106102 OTP to verify your account,106102
478127 is the code to authorize your transaction.,478127
Please enter 448107 to complete your authentication.,448107
Use 151494 as your OTP to login. Rapido!.,151494
Use 22722 as your OTP to login. Rapido!.,22722
"Hi, your verification PIN is 285261.",285261
Please enter 282850 to complete your authentication.,282850
232356 - confirmation code for secure access.,232356
816565 is your verification number for access.,816565
"Hi, your verification PIN is 857526.",857526
Authentication code: 504762. Keep it safe.,504762
Your OTP is 940090. Do not share it with anyone.,940090
125099 - confirmation code for secure access.,125099
646604 - confirmation code for secure access.,646604
